symbol,base_qty,side,quote_qty,account_name,price,realized_pnl,fee,trade_time,时间,净资产,份额,净值
ETHUSDT,0.003,CloseLong,12.6,binance-001,4199,0.0722,0.0034,1755694424062,2025/8/20 20:53:44,996.580308,1000,0.996580308
ETHUSDT,0.027,OpenLong,113,binance-001,4176,0,0.0304,1755695619114,2025/8/20 21:13:39,996.549908,1000,0.996549908
ETHUSDT,0.005,OpenLong,20.9,binance-001,4177,0,0.00564,1755696859077,2025/8/20 21:34:19,996.544268,1000,0.996544268
ETHUSDT,0.02,CloseLong,83.8,binance-001,4188,0.241,0.0226,1755697424031,2025/8/20 21:43:44,996.762668,1000,0.996762668
ETHUSDT,0.003,CloseLong,12.6,binance-001,4188,0.0362,0.00339,1755697424031,2025/8/20 21:43:44,996.795478,1000,0.996795478
ETHUSDT,0.029,OpenLong,120,binance-001,4136,0,0.0324,1755698019033,2025/8/20 21:53:39,996.763078,1000,0.996763078
ETHUSDT,0.001,CloseLong,4.15,binance-001,4147,-0.0196,0.00112,1755699824032,2025/8/20 22:23:44,996.742358,1000,0.996742358
ETHUSDT,0.003,CloseLong,12.6,binance-001,4194,0.0845,0.0034,1755700424159,2025/8/20 22:33:44,996.823458,1000,0.996823458
ETHUSDT,0.022,CloseLong,92.5,binance-001,4205,0.85,0.025,1755701024048,2025/8/20 22:43:44,997.648458,1000,0.997648458
ETHUSDT,0.008,CloseLong,33.7,binance-001,4215,0.393,0.00911,1755701614041,2025/8/20 22:53:34,998.032348,1000,0.998032348
ETHUSDT,0.005,CloseLong,21.3,binance-001,4262,0.477,0.00575,1755702814022,2025/8/20 23:13:34,998.503598,1000,0.998503598
ETHUSDT,0.005,CloseLong,21.3,binance-001,4262,0.477,0.00575,1755702814022,2025/8/20 23:13:34,998.974848,1000,0.998974848
ETHUSDT,0.005,CloseLong,21.3,binance-001,4262,0.477,0.00575,1755702814022,2025/8/20 23:13:34,999.446098,1000,0.999446098
ETHUSDT,0.003,CloseLong,12.8,binance-001,4262,0.286,0.00345,1755702814022,2025/8/20 23:13:34,999.728648,1000,0.999728648
ETHUSDT,0.01,CloseLong,42.9,binance-001,4294,1.27,0.0116,1755703414059,2025/8/20 23:23:34,1000.987048,1000,1.000987048
ETHUSDT,0.004,CloseLong,17.2,binance-001,4292,0.505,0.00464,1755704014089,2025/8/20 23:33:34,1001.487408,1000,1.001487408
ETHUSDT,0.016,CloseLong,69,binance-001,4314,2.37,0.0186,1755707014062,2025/8/21 0:23:34,1003.838808,1000,1.003838808
ETHUSDT,0.012,CloseLong,52.2,binance-001,4348,2.18,0.0141,1755712414097,2025/8/21 1:53:34,1006.004708,1000,1.006004708
ETHUSDT,0.001,CloseLong,4.33,binance-001,4332,0.165,0.00117,1755717814069,2025/8/21 3:23:34,1006.168538,1000,1.006168538
BTCUSDT,0.001,CloseLong,114,binance-001,114068,-0.796,0.0308,1755719586843,2025/8/21 3:53:07,1005.341738,1000,1.005341738
ETHUSDT,0.004,CloseLong,17.2,binance-001,4309,0.57,0.00465,1755764014061,2025/8/21 16:13:34,1005.907088,1000,1.005907088
SOLUSDT,8.38,OpenLong,1558,binance-001,186,0,0.421,1755765247827,2025/8/21 16:34:08,1005.486088,1000,1.005486088
WCTUSDT,41,OpenShort,12.6,binance-001,0.308,0,0.00341,1755766083092,2025/8/21 16:48:03,1005.482678,1000,1.005482678
SOLUSDT,0.02,CloseLong,3.72,binance-001,186,0.0046,0.00101,1755766162523,2025/8/21 16:49:23,1005.486268,1000,1.005486268
ETCUSDT,30.5,OpenLong,652,binance-001,21.4,0,0.176,1755766200209,2025/8/21 16:50:00,1005.310268,1000,1.005310268
SUIUSDT,11.1,OpenLong,38.7,binance-001,3.49,0,0.0105,1755766257492,2025/8/21 16:50:57,1005.299768,1000,1.005299768
SOLUSDT,0.01,CloseLong,1.84,binance-001,184,-0.0193,0.000497,1755771532417,2025/8/21 18:18:52,1005.279971,1000,1.005279971
SOLUSDT,0.03,OpenLong,5.53,binance-001,184,0,0.00149,1755773337495,2025/8/21 18:48:57,1005.278481,1000,1.005278481
SOLUSDT,0.01,CloseLong,1.84,binance-001,184,-0.0183,0.000497,1755773932532,2025/8/21 18:58:53,1005.259684,1000,1.005259684
SOLUSDT,0.01,CloseLong,1.85,binance-001,185,-0.0133,0.000498,1755774559887,2025/8/21 19:09:20,1005.245886,1000,1.005245886
XRPUSDT,36.1,OpenLong,104,binance-001,2.89,0,0.0282,1755780981385,2025/8/21 20:56:21,1005.217686,1000,1.005217686
XRPUSDT,0.1,CloseLong,0.289,binance-001,2.89,0.00025,0.0000781,1755781603502,2025/8/21 21:06:44,1005.217858,1000,1.005217858
SOLUSDT,0.01,CloseLong,1.84,binance-001,184,-0.0175,0.000497,1755782359829,2025/8/21 21:19:20,1005.199861,1000,1.005199861
XRPUSDT,3.9,CloseLong,11.3,binance-001,2.9,0.0562,0.00306,1755782776395,2025/8/21 21:26:16,1005.253001,1000,1.005253001
SOLUSDT,0.03,OpenLong,5.55,binance-001,185,0,0.0015,1755783000324,2025/8/21 21:30:00,1005.251501,1000,1.005251501
ETCUSDT,0.19,CloseLong,4.01,binance-001,21.1,-0.0481,0.00108,1755783052432,2025/8/21 21:30:52,1005.202321,1000,1.005202321
XRPUSDT,3.9,CloseLong,11.3,binance-001,2.91,0.0636,0.00306,1755783376327,2025/8/21 21:36:16,1005.262861,1000,1.005262861
ETHUSDT,0.003,CloseLong,12.8,binance-001,4282,0.348,0.00347,1755783436003,2025/8/21 21:37:16,1005.607391,1000,1.005607391
WCTUSDT,1,CloseShort,0.307,binance-001,0.307,0.0012,0.0000828,1755783516080,2025/8/21 21:38:36,1005.608508,1000,1.005608508
SOLUSDT,0.04,CloseLong,7.4,binance-001,185,-0.0349,0.002,1755783575913,2025/8/21 21:39:36,1005.571608,1000,1.005571608
SUIUSDT,0.1,CloseLong,0.344,binance-001,3.44,-0.00469,0.0000929,1755783965591,2025/8/21 21:46:06,1005.566825,1000,1.005566825
XRPUSDT,0.3,CloseLong,0.869,binance-001,2.9,0.00189,0.000235,1755783998234,2025/8/21 21:46:38,1005.56848,1000,1.00556848
ETHUSDT,0.004,CloseLong,17.1,binance-001,4272,0.423,0.00461,1755784057965,2025/8/21 21:47:38,1005.98687,1000,1.00598687
SOLUSDT,0.04,OpenLong,7.4,binance-001,185,0,0.002,1755784227276,2025/8/21 21:50:27,1005.98487,1000,1.00598487
SOLUSDT,0.04,CloseLong,7.36,binance-001,184,-0.0795,0.00199,1755784786993,2025/8/21 21:59:47,1005.90338,1000,1.00590338
ETHUSDT,0.004,CloseLong,17.2,binance-001,4307,0.561,0.00465,1755785830838,2025/8/21 22:17:11,1006.45973,1000,1.00645973
FARTCOINUSDT,8.6,OpenLong,7.73,binance-001,0.898,0,0.00209,1755785970303,2025/8/21 22:19:30,1006.45764,1000,1.00645764
SOLUSDT,0.04,OpenLong,7.42,binance-001,186,0,0.002,1755786027541,2025/8/21 22:20:28,1006.45564,1000,1.00645564
XRPUSDT,1.7,CloseLong,4.96,binance-001,2.92,0.0471,0.00134,1755786464314,2025/8/21 22:27:44,1006.5014,1000,1.0065014
XRPUSDT,2.1,CloseLong,6.13,binance-001,2.92,0.0582,0.00165,1755786464314,2025/8/21 22:27:44,1006.55795,1000,1.00655795
ETHUSDT,0.012,CloseLong,51.7,binance-001,4312,1.75,0.014,1755786524039,2025/8/21 22:28:44,1008.29395,1000,1.00829395
FARTCOINUSDT,0.1,CloseLong,0.0893,binance-001,0.893,-0.00054,0.0000241,1755786658404,2025/8/21 22:30:58,1008.293386,1000,1.008293386
XRPUSDT,0.1,CloseLong,0.291,binance-001,2.91,0.00193,0.0000785,1755787003558,2025/8/21 22:36:44,1008.295238,1000,1.008295238
SOLUSDT,0.02,CloseLong,3.69,binance-001,184,-0.0309,0.000995,1755787219714,2025/8/21 22:40:20,1008.263343,1000,1.008263343
XRPUSDT,4,CloseLong,11.5,binance-001,2.89,-0.0188,0.00312,1755788776336,2025/8/21 23:06:16,1008.241423,1000,1.008241423
ETHUSDT,0.036,OpenLong,153,binance-001,4257,0,0.0414,1755788871356,2025/8/21 23:07:51,1008.200023,1000,1.008200023
SOLUSDT,0.01,CloseLong,1.84,binance-001,184,-0.0224,0.000496,1755789052549,2025/8/21 23:10:53,1008.177127,1000,1.008177127
SOLUSDT,0.03,OpenLong,5.5,binance-001,183,0,0.00149,1755789592013,2025/8/21 23:19:52,1008.175637,1000,1.008175637
ETHUSDT,0.004,CloseLong,17,binance-001,4252,-0.0198,0.00459,1755790030743,2025/8/21 23:27:11,1008.151247,1000,1.008151247
SOLUSDT,0.01,CloseLong,1.83,binance-001,183,-0.0269,0.000495,1755790814683,2025/8/21 23:40:15,1008.123852,1000,1.008123852
ETHUSDT,0.004,CloseLong,17,binance-001,4253,-0.0162,0.00459,1755791258859,2025/8/21 23:47:39,1008.103062,1000,1.008103062
XRPUSDT,8,CloseLong,23.2,binance-001,2.9,0.116,0.00627,1755792931387,2025/8/22 0:15:31,1008.212792,1000,1.008212792
XRPUSDT,4,CloseLong,11.6,binance-001,2.9,0.0296,0.00313,1755793558962,2025/8/22 0:25:59,1008.239262,1000,1.008239262
SOLUSDT,0.01,CloseLong,1.81,binance-001,181,-0.0502,0.000488,1755794993999,2025/8/22 0:49:54,1008.188574,1000,1.008188574
SOLUSDT,0.03,OpenLong,5.44,binance-001,181,0,0.00147,1755797980880,2025/8/22 1:39:41,1008.187104,1000,1.008187104
SOLUSDT,0.02,CloseLong,3.63,binance-001,181,-0.0922,0.000979,1755798600789,2025/8/22 1:50:01,1008.093925,1000,1.008093925
ETHUSDT,0.004,CloseLong,17.1,binance-001,4266,0.039,0.00461,1755803136302,2025/8/22 3:05:36,1008.128315,1000,1.008128315
SOLUSDT,0.03,OpenLong,5.39,binance-001,180,0,0.00146,1755808697582,2025/8/22 4:38:18,1008.126855,1000,1.008126855
SOLUSDT,0.02,CloseLong,3.61,binance-001,180,-0.111,0.000974,1755809317782,2025/8/22 4:48:38,1008.014881,1000,1.008014881
SOLUSDT,0.03,CloseLong,5.43,binance-001,181,-0.15,0.00146,1755809918201,2025/8/22 4:58:38,1007.863421,1000,1.007863421
SOLUSDT,0.04,OpenLong,7.21,binance-001,180,0,0.00195,1755810498214,2025/8/22 5:08:18,1007.861471,1000,1.007861471
SOLUSDT,0.06,CloseLong,10.8,binance-001,180,-0.329,0.00292,1755811118360,2025/8/22 5:18:38,1007.529551,1000,1.007529551
SOLUSDT,0.05,OpenLong,9.06,binance-001,181,0,0.00245,1755811723818,2025/8/22 5:28:44,1007.527101,1000,1.007527101
SOLUSDT,0.01,CloseLong,1.81,binance-001,181,-0.0471,0.000489,1755812939046,2025/8/22 5:48:59,1007.479512,1000,1.007479512
SOLUSDT,0.01,CloseLong,1.81,binance-001,181,-0.0444,0.00049,1755814729976,2025/8/22 6:18:50,1007.434622,1000,1.007434622
SOLUSDT,0.59,OpenLong,107,binance-001,181,0,0.0289,1755815748754,2025/8/22 6:35:49,1007.405722,1000,1.007405722
XRPUSDT,32.1,OpenLong,92.2,binance-001,2.87,0,0.0249,1755815833159,2025/8/22 6:37:13,1007.380822,1000,1.007380822
SOLUSDT,0.07,OpenLong,12.7,binance-001,181,0,0.00343,1755816512780,2025/8/22 6:48:33,1007.377392,1000,1.007377392
SOLUSDT,0.32,OpenLong,57.6,binance-001,180,0,0.0155,1755819573689,2025/8/22 7:39:34,1007.361892,1000,1.007361892
XRPUSDT,28.2,OpenLong,80.1,binance-001,2.84,0,0.0216,1755819688113,2025/8/22 7:41:28,1007.340292,1000,1.007340292
