MemberID,start date,end date,annualized_return,max_drawdown,sharpe_ratio,sortino_ratio,Number of Liquidations,profit_loss_ratio,winner_ratio
daa68c72-4d68-44d3-b711-74e4fe893607,2025/6/22 19:34,2025/9/5 23:06,78887209130475.36,0.8832,2.6708,24183509811968.01,0,9.6857,0.8747
2bc848d0-bc9f-453f-b0e6-0e498e62ccd5,2025/7/28 3:29,2025/9/4 12:11,-1,-1,-3.9482,-1,1,0.8826,0.5677
98c46225-f92c-4185-8c72-b4cb5d3adf81,2025/6/8 22:02,2025/9/8 0:00,-1,1,-1.9324,0,2,1.2565,0.698
fd956e38-af19-47af-9584-1296ccb7801a,2025/6/21 16:50,2025/9/7 6:13,-0.9499,0.9677,2.1653,-0.2977,0,2.4317,0.3822
7a2075e1-2543-4777-aeb9-496d3ab38127,2025/5/30 22:43,2025/9/7 12:55,51883779847855.49,0.7478,4.9947,13539728854542.041,0,7.1276,0.75
26fc93a8-cf51-4d39-af74-31d100bf8f51,2025/3/12 3:48,2025/9/8 0:00,37.6172,0.0903,3.6387,295.3253,1,7.7055,0.9532
ea601caf-2c73-41d1-b4ad-91a5cd6ea910,2025/6/22 12:00,2025/9/8 4:00,16914344571.1277,0.1782,7.1686,33102791895.3745,0,6.3713,0.8469
b628345e-d35a-4e06-a7f4-81f0ed799f69,2024/10/19 14:35,2025/9/8 4:00,6.4885,1,1.0623,2.15,0,1.155,0.3545
c9c03175-99ec-4b0a-9c49-a4c4ae82185a,2025/7/3 18:06,2025/9/7 4:39,590.8273,0.9999,3.3465,174.0064,0,3.3553,0.7176
255bda17-051c-4eb6-8b7c-5bec9ae14249,2025/4/25 1:07,2025/9/8 4:00,1983.8272,0.7265,2.9,815.8062,0,8.888,0.7796
7a566bda-4f06-43be-949f-1be0c864b396,2025/8/6 5:00,2025/9/5 13:10,67081236513488.12,0.4182,9.3083,20733735139466.043,0,5.3833,0.8041
aea6e82b-4e69-4676-96bc-5f6375b1fc33,2024/11/8 13:52,2025/9/8 0:00,1.645,0.0082,3.0763,30.9757,0,,
0c4974e2-4efc-4846-9cf4-c67836a548a8,2023/5/6 11:08,2025/9/7 11:52,-0.69,0.9999,0.692,-0.2022,0,3.4258,0.9255
4605ca16-e4f7-494e-9b72-4e5c1985d0c2,2025/6/30 13:55,2025/9/4 11:03,-0.6653,1.0373,-2.9088,0,4,0.8771,0.153
2535a0c9-983b-4e95-8697-4fa2f8235122,2025/7/21 6:28,2025/9/8 4:06,-0.9999,0.9222,-1.3352,-0.2401,0,1.3622,0.7829
5f431985-ef1d-4d25-a409-d2e1cd6a34fe,2025/6/26 5:44,2025/9/8 4:08,-0.409,1.0206,-1.9518,-0.005,1,1.1297,0.6933
7f436011-a8cf-430a-abb1-0d1aab1844f9,2025/7/2 12:23,2025/9/8 4:00,18.498,0.1373,4.1493,35.6534,0,2.7275,0.7172
36d92a9f-0bcc-4481-a3ff-6c076cf673c7,2025/8/8 5:20,2025/9/8 2:21,8988278232.7601,0.1312,7.1251,6331398924.9956,0,9.7501,0.7452
e01bb0a9-ca3e-412e-9c3a-2d4af6f60dee,2025/1/17 2:05,2025/9/8 0:00,2.0277,1.0028,,0.0002,5,0.9888,0.5099
b55e6d49-db67-47a9-8384-e780294c04dc,2025/8/8 18:42,2025/9/7 19:01,-0.9986,0.6969,-1.2106,-0.4398,0,1.2952,0.5143
df9281b6-d44d-4f2a-85bc-83c5db58f7f1,2024/12/5 3:54,2025/9/8 0:00,-0.8523,1,,-0.1219,2,1.8233,0.8458
c32cfd3f-5010-4603-99d3-34d7cea57d04,2025/7/10 8:47,2025/9/8 4:00,7431068770.6949,1,4.0918,2717760103.7273,0,2.1307,0.6493
78ec396e-07a0-4e97-8d99-6b6fdadb6671,2025/8/15 15:36,2025/9/8 0:00,715986.814,0.7286,5.4287,99786.3087,0,3.7058,0.3333
00d87dc8-fa6c-409b-918d-6fde3a423eaa,2023/9/4 13:27,2025/9/8 4:00,2.7015,1.0001,1.1241,0.5648,8,1.691,0.7163
a224e1ee-084c-4744-b893-3ef1bec91ad8,2024/6/19 14:40,2025/9/4 4:57,-0.9335,1,,-0.2756,0,1.7036,0.5375
d6586874-f953-4ab1-845d-482f82e66896,2025/2/25 21:33,2025/9/5 15:25,-0.9943,1,1.4189,-0.2031,0,2.2523,0.4742
6ada1706-64a4-4067-ad0c-918d578f8782,2025/8/17 20:21,2025/9/8 3:20,537406956,0.2001,11.4188,218008786,0,5.2487,0.7579
c7bd2eec-fd67-4634-bed9-daf9ded5d510,2023/6/13 17:52,2025/9/8 4:00,2.3799,1,,1.0431,0,2.2528,0.7034
1369a0fa-d985-462b-9d67-d7bf4859f55e,2025/8/13 7:04,2025/9/5 13:10,3.410177926090955e+17,0.6356,7.5818,1.3562971481877422e+17,0,3.9174,0.5833
56dec90c-c708-4f98-8534-5bac8fb219f4,2025/8/5 5:24,2025/9/6 16:25,10064076281812.938,0.205,12.0833,20596723146880.113,0,3.4826,0.8059
a97d764e-09c4-4247-be76-68fd2dd2adf6,2025/8/5 18:47,2025/9/7 21:03,27.7667,1.0001,4.842,3.2724,1,1.9706,0.8741
5fd7a139-dbe7-4295-a695-85054371b410,2025/3/8 3:57,2025/9/8 0:00,20.3478,0.1087,2.3192,1007.4373,0,107.3384,0.9333
109b56ab-eb81-4eb8-88d3-a3409ce56e05,2023/11/2 9:52,2025/9/7 17:25,0.154,0.0396,1.3171,1.4551,0,,
d3b79a40-49ca-424c-a1e0-9bb84c6d6513,2025/8/23 17:55,2025/9/8 4:00,7.617969095894789e+17,0.0362,13.5025,4.1329411025846336e+17,0,54.5045,0.99
c7d61ee8-eb4f-4869-a41b-56611eb85e12,2025/9/3 11:01,2025/9/4 7:48,2.2604219543768784e+75,0.2182,,,0,5.9941,0.64
d1654c50-f5a9-4aa3-a261-44c02a17ff12,2025/8/29 15:17,2025/9/8 0:00,1.5292555460045735e+30,0.5002,6.2777,5.037976697168632e+26,0,42.8129,0.901
03f8a190-423d-4fbd-863b-27859cd5fc29,2025/5/11 12:15,2025/9/8 3:55,-1,1.0221,1.7456,-0.2112,2,1.467,0.5501
627f6adb-7ad8-42fb-b021-fda0f538e5b5,2025/8/14 16:20,2025/9/8 4:00,236577.8406,1,-3.821,0.2909,1,3.4905,0.7939
